"precinct","type","candidate","votes","party","office"
"HUMMELSTOWN--1ST PRECINCT","total","Biden","133","DEM","President"
"HUMMELSTOWN--1ST PRECINCT","total","Gabbard","5","OTHER","President"
"HUMMELSTOWN--1ST PRECINCT","total","Write-In","6","OTHER","President"
"HUMMELSTOWN--2ND PRECINCT","total","Sanders","51","OTHER","President"
"HUMMELSTOWN--2ND PRECINCT","total","Biden","217","DEM","President"
"HUMMELSTOWN--2ND PRECINCT","total","Gabbard","6","OTHER","President"
"HUMMELSTOWN--2ND PRECINCT","total","Write-In","3","OTHER","President"
"LYKENS BOROUGH--1ST WARD","total","Sanders","8","OTHER","President"
"LYKENS BOROUGH--1ST WARD","total","Biden","38","DEM","President"
"LYKENS BOROUGH--1ST WARD","total","Gabbard","0","OTHER","President"
"LYKENS BOROUGH--1ST WARD","total","Write-In","2","OTHER","President"
"LYKENS BOROUGH--2ND WARD","total","Sanders","8","OTHER","President"
"LYKENS BOROUGH--2ND WARD","total","Biden","51","DEM","President"
"LYKENS BOROUGH--2ND WARD","total","Gabbard","1","OTHER","President"
"LYKENS BOROUGH--2ND WARD","total","Write-In","3","OTHER","President"
"MIDDLETOWN--1ST WARD, 1ST PRECINCT","total","Sanders","20","OTHER","President"
"MIDDLETOWN--1ST WARD, 1ST PRECINCT","total","Biden","47","DEM","President"
"MIDDLETOWN--1ST WARD, 1ST PRECINCT","total","Gabbard","4","OTHER","President"
"MIDDLETOWN--1ST WARD, 1ST PRECINCT","total","Write-In","2","OTHER","President"
"MIDDLETOWN--1ST WARD, 2ND PRECINCT","total","Sanders","26","OTHER","President"
"MIDDLETOWN--1ST WARD, 2ND PRECINCT","total","Biden","123","DEM","President"
"MIDDLETOWN--1ST WARD, 2ND PRECINCT","total","Gabbard","6","OTHER","President"
"MIDDLETOWN--1ST WARD, 2ND PRECINCT","total","Write-In","5","OTHER","President"
"MIDDLETOWN--2ND WARD, 1ST PRECINCT","total","Sanders","33","OTHER","President"
"MIDDLETOWN--2ND WARD, 1ST PRECINCT","total","Biden","85","DEM","President"
"MIDDLETOWN--2ND WARD, 1ST PRECINCT","total","Gabbard","3","OTHER","President"
"MIDDLETOWN--2ND WARD, 1ST PRECINCT","total","Write-In","0","OTHER","President"
"MIDDLETOWN--2ND WARD, 2ND PRECINCT","total","Sanders","44","OTHER","President"
"MIDDLETOWN--2ND WARD, 2ND PRECINCT","total","Biden","147","DEM","President"
"MIDDLETOWN--2ND WARD, 2ND PRECINCT","total","Gabbard","4","OTHER","President"
"MIDDLETOWN--2ND WARD, 2ND PRECINCT","total","Write-In","7","OTHER","President"
"MIDDLETOWN--3RD WARD, 1ST PRECINCT","total","Sanders","28","OTHER","President"
"MIDDLETOWN--3RD WARD, 1ST PRECINCT","total","Biden","95","DEM","President"
"MIDDLETOWN--3RD WARD, 1ST PRECINCT","total","Gabbard","2","OTHER","President"
"MIDDLETOWN--3RD WARD, 1ST PRECINCT","total","Write-In","0","OTHER","President"
"MIDDLETOWN--3RD WARD, 2ND PRECINCT","total","Sanders","22","OTHER","President"
"MIDDLETOWN--3RD WARD, 2ND PRECINCT","total","Biden","79","DEM","President"
"MIDDLETOWN--3RD WARD, 2ND PRECINCT","total","Gabbard","2","OTHER","President"
"MIDDLETOWN--3RD WARD, 2ND PRECINCT","total","Write-In","2","OTHER","President"
"MILLERSBURG BOROUGH","total","Sanders","38","OTHER","President"
"MILLERSBURG BOROUGH","total","Biden","111","DEM","President"
"MILLERSBURG BOROUGH","total","Gabbard","3","OTHER","President"
"MILLERSBURG BOROUGH","total","Write-In","6","OTHER","President"
"PAXTANG BOROUGH","total","Sanders","82","OTHER","President"
"PAXTANG BOROUGH","total","Biden","221","DEM","President"
"PAXTANG BOROUGH","total","Gabbard","9","OTHER","President"
"PAXTANG BOROUGH","total","Write-In","6","OTHER","President"
"PENBROOK BOROUGH--1ST WARD","total","Sanders","21","OTHER","President"
"PENBROOK BOROUGH--1ST WARD","total","Biden","73","DEM","President"
"PENBROOK BOROUGH--1ST WARD","total","Gabbard","2","OTHER","President"
"PENBROOK BOROUGH--1ST WARD","total","Write-In","2","OTHER","President"
"PENBROOK BOROUGH--2ND WARD","total","Sanders","24","OTHER","President"
"PENBROOK BOROUGH--2ND WARD","total","Biden","67","DEM","President"
"PENBROOK BOROUGH--2ND WARD","total","Gabbard","3","OTHER","President"
"PENBROOK BOROUGH--2ND WARD","total","Write-In","0","OTHER","President"
"PENBROOK BOROUGH--3RD WARD","total","Sanders","16","OTHER","President"
"PENBROOK BOROUGH--3RD WARD","total","Biden","65","DEM","President"
"PENBROOK BOROUGH--3RD WARD","total","Gabbard","2","OTHER","President"
"PENBROOK BOROUGH--3RD WARD","total","Write-In","1","OTHER","President"
"PENBROOK BOROUGH--4TH WARD","total","Sanders","15","OTHER","President"
"PENBROOK BOROUGH--4TH WARD","total","Biden","94","DEM","President"
"PENBROOK BOROUGH--4TH WARD","total","Gabbard","3","OTHER","President"
"PENBROOK BOROUGH--4TH WARD","total","Write-In","1","OTHER","President"
"ROYALTON BOROUGH--1ST WARD","total","Sanders","9","OTHER","President"
"ROYALTON BOROUGH--1ST WARD","total","Biden","17","DEM","President"
"ROYALTON BOROUGH--1ST WARD","total","Gabbard","0","OTHER","President"
"ROYALTON BOROUGH--1ST WARD","total","Write-In","0","OTHER","President"
"ROYALTON BOROUGH--2ND WARD","total","Sanders","18","OTHER","President"
"ROYALTON BOROUGH--2ND WARD","total","Biden","53","DEM","President"
"ROYALTON BOROUGH--2ND WARD","total","Gabbard","3","OTHER","President"
"ROYALTON BOROUGH--2ND WARD","total","Write-In","1","OTHER","President"
"STEELTON--1ST WARD","total","Sanders","21","OTHER","President"
"STEELTON--1ST WARD","total","Biden","91","DEM","President"
"STEELTON--1ST WARD","total","Gabbard","0","OTHER","President"
"STEELTON--1ST WARD","total","Write-In","1","OTHER","President"
"STEELTON--2ND WARD","total","Sanders","39","OTHER","President"
"STEELTON--2ND WARD","total","Biden","181","DEM","President"
"STEELTON--2ND WARD","total","Gabbard","9","OTHER","President"
"STEELTON--2ND WARD","total","Write-In","1","OTHER","President"
"STEELTON--3RD WARD","total","Sanders","35","OTHER","President"
"STEELTON--3RD WARD","total","Biden","160","DEM","President"
"STEELTON--3RD WARD","total","Gabbard","4","OTHER","President"
"STEELTON--3RD WARD","total","Write-In","3","OTHER","President"
"STEELTON--4TH WARD","total","Sanders","28","OTHER","President"
"STEELTON--4TH WARD","total","Biden","108","DEM","President"
"STEELTON--4TH WARD","total","Gabbard","4","OTHER","President"
"STEELTON--4TH WARD","total","Write-In","1","OTHER","President"
"PILLOW BOROUGH","total","Sanders","2","OTHER","President"
"PILLOW BOROUGH","total","Biden","21","DEM","President"
"PILLOW BOROUGH","total","Gabbard","2","OTHER","President"
"PILLOW BOROUGH","total","Write-In","0","OTHER","President"
"WILLIAMSTOWN--1ST WARD","total","Sanders","4","OTHER","President"
"WILLIAMSTOWN--1ST WARD","total","Biden","27","DEM","President"
"WILLIAMSTOWN--1ST WARD","total","Gabbard","3","OTHER","President"
"WILLIAMSTOWN--1ST WARD","total","Write-In","0","OTHER","President"
"WILLIAMSTOWN--2ND WARD","total","Sanders","3","OTHER","President"
"WILLIAMSTOWN--2ND WARD","total","Biden","10","DEM","President"
"WILLIAMSTOWN--2ND WARD","total","Gabbard","0","OTHER","President"
"WILLIAMSTOWN--2ND WARD","total","Write-In","3","OTHER","President"
"CONEWAGO TWP--1ST PRECINCT","total","Sanders","25","OTHER","President"
"CONEWAGO TWP--1ST PRECINCT","total","Biden","107","DEM","President"
"CONEWAGO TWP--1ST PRECINCT","total","Gabbard","2","OTHER","President"
"CONEWAGO TWP--1ST PRECINCT","total","Write-In","4","OTHER","President"
"CONEWAGO TWP--2ND PRECINCT","total","Sanders","15","OTHER","President"
"CONEWAGO TWP--2ND PRECINCT","total","Biden","109","DEM","President"
"CONEWAGO TWP--2ND PRECINCT","total","Gabbard","5","OTHER","President"
"CONEWAGO TWP--2ND PRECINCT","total","Write-In","3","OTHER","President"
"DERRY TOWNSHIP--1ST PRECINCT","total","Sanders","46","OTHER","President"
"DERRY TOWNSHIP--1ST PRECINCT","total","Biden","295","DEM","President"
"DERRY TOWNSHIP--1ST PRECINCT","total","Gabbard","8","OTHER","President"
"DERRY TOWNSHIP--1ST PRECINCT","total","Write-In","4","OTHER","President"
"DERRY TOWNSHIP--2ND PRECINCT","total","Sanders","51","OTHER","President"
"DERRY TOWNSHIP--2ND PRECINCT","total","Biden","208","DEM","President"
"DERRY TOWNSHIP--2ND PRECINCT","total","Gabbard","7","OTHER","President"
"DERRY TOWNSHIP--2ND PRECINCT","total","Write-In","2","OTHER","President"
"DERRY TOWNSHIP--3RD PRECINCT","total","Sanders","41","OTHER","President"
"DERRY TOWNSHIP--3RD PRECINCT","total","Biden","173","DEM","President"
"DERRY TOWNSHIP--3RD PRECINCT","total","Gabbard","5","OTHER","President"
"DERRY TOWNSHIP--3RD PRECINCT","total","Write-In","6","OTHER","President"
"DERRY TOWNSHIP--4TH PRECINCT","total","Sanders","40","OTHER","President"
"DERRY TOWNSHIP--4TH PRECINCT","total","Biden","145","DEM","President"
"DERRY TOWNSHIP--4TH PRECINCT","total","Gabbard","3","OTHER","President"
"DERRY TOWNSHIP--4TH PRECINCT","total","Write-In","3","OTHER","President"
"DERRY TOWNSHIP--5TH PRECINCT","total","Sanders","20","OTHER","President"
"DERRY TOWNSHIP--5TH PRECINCT","total","Biden","104","DEM","President"
"DERRY TOWNSHIP--5TH PRECINCT","total","Gabbard","2","OTHER","President"
"DERRY TOWNSHIP--5TH PRECINCT","total","Write-In","2","OTHER","President"
"DERRY TOWNSHIP--6TH PRECINCT","total","Sanders","19","OTHER","President"
"DERRY TOWNSHIP--6TH PRECINCT","total","Biden","97","DEM","President"
"DERRY TOWNSHIP--6TH PRECINCT","total","Gabbard","1","OTHER","President"
"DERRY TOWNSHIP--6TH PRECINCT","total","Write-In","5","OTHER","President"
"DERRY TOWNSHIP--7TH PRECINCT","total","Sanders","29","OTHER","President"
"DERRY TOWNSHIP--7TH PRECINCT","total","Biden","176","DEM","President"
"DERRY TOWNSHIP--7TH PRECINCT","total","Gabbard","2","OTHER","President"
"DERRY TOWNSHIP--7TH PRECINCT","total","Write-In","2","OTHER","President"
"DERRY TOWNSHIP--8TH PRECINCT","total","Sanders","33","OTHER","President"
"DERRY TOWNSHIP--8TH PRECINCT","total","Biden","114","DEM","President"
"DERRY TOWNSHIP--8TH PRECINCT","total","Gabbard","6","OTHER","President"
"DERRY TOWNSHIP--8TH PRECINCT","total","Write-In","3","OTHER","President"
"DERRY TOWNSHIP--9TH PRECINCT","total","Sanders","37","OTHER","President"
"DERRY TOWNSHIP--9TH PRECINCT","total","Biden","104","DEM","President"
"DERRY TOWNSHIP--9TH PRECINCT","total","Gabbard","0","OTHER","President"
"DERRY TOWNSHIP--9TH PRECINCT","total","Write-In","4","OTHER","President"
"DERRY TOWNSHIP--10TH PRECINCT","total","Sanders","34","OTHER","President"
"DERRY TOWNSHIP--10TH PRECINCT","total","Biden","145","DEM","President"
"DERRY TOWNSHIP--10TH PRECINCT","total","Gabbard","6","OTHER","President"
"DERRY TOWNSHIP--10TH PRECINCT","total","Write-In","2","OTHER","President"
"DERRY TOWNSHIP--11TH PRECINCT","total","Sanders","54","OTHER","President"
"DERRY TOWNSHIP--11TH PRECINCT","total","Biden","218","DEM","President"
"DERRY TOWNSHIP--11TH PRECINCT","total","Gabbard","4","OTHER","President"
"DERRY TOWNSHIP--11TH PRECINCT","total","Write-In","3","OTHER","President"
"DERRY TOWNSHIP--12TH PRECINCT","total","Sanders","42","OTHER","President"
"DERRY TOWNSHIP--12TH PRECINCT","total","Biden","139","DEM","President"
"DERRY TOWNSHIP--12TH PRECINCT","total","Gabbard","2","OTHER","President"
"DERRY TOWNSHIP--12TH PRECINCT","total","Write-In","4","OTHER","President"
"DERRY TOWNSHIP--13TH PRECINCT","total","Sanders","30","OTHER","President"
"DERRY TOWNSHIP--13TH PRECINCT","total","Biden","165","DEM","President"
"DERRY TOWNSHIP--13TH PRECINCT","total","Gabbard","3","OTHER","President"
"DERRY TOWNSHIP--13TH PRECINCT","total","Write-In","1","OTHER","President"
"DERRY TOWNSHIP--14TH PRECINCT","total","Sanders","48","OTHER","President"
"DERRY TOWNSHIP--14TH PRECINCT","total","Biden","178","DEM","President"
"DERRY TOWNSHIP--14TH PRECINCT","total","Gabbard","3","OTHER","President"
"DERRY TOWNSHIP--14TH PRECINCT","total","Write-In","4","OTHER","President"
"DERRY TOWNSHIP--15TH PRECINCT","total","Sanders","76","OTHER","President"
"DERRY TOWNSHIP--15TH PRECINCT","total","Biden","412","DEM","President"
"DERRY TOWNSHIP--15TH PRECINCT","total","Gabbard","6","OTHER","President"
"DERRY TOWNSHIP--15TH PRECINCT","total","Write-In","11","OTHER","President"
"EAST HANOVER TOWNSHIP--1ST PRECINCT","total","Sanders","28","OTHER","President"
"EAST HANOVER TOWNSHIP--1ST PRECINCT","total","Biden","174","DEM","President"
"EAST HANOVER TOWNSHIP--1ST PRECINCT","total","Gabbard","9","OTHER","President"
"EAST HANOVER TOWNSHIP--1ST PRECINCT","total","Write-In","6","OTHER","President"
"EAST HANOVER TOWNSHIP--2ND PRECINCT","total","Sanders","35","OTHER","President"
"EAST HANOVER TOWNSHIP--2ND PRECINCT","total","Biden","148","DEM","President"
"EAST HANOVER TOWNSHIP--2ND PRECINCT","total","Gabbard","18","OTHER","President"
"EAST HANOVER TOWNSHIP--2ND PRECINCT","total","Write-In","3","OTHER","President"
"HALIFAX TWP--1ST PRECINCT","total","Sanders","10","OTHER","President"
"HALIFAX TWP--1ST PRECINCT","total","Biden","76","DEM","President"
"HALIFAX TWP--1ST PRECINCT","total","Gabbard","6","OTHER","President"
"HALIFAX TWP--1ST PRECINCT","total","Write-In","4","OTHER","President"
"HALIFAX TWP--2ND PRECINCT","total","Sanders","22","OTHER","President"
"HALIFAX TWP--2ND PRECINCT","total","Biden","76","DEM","President"
"HALIFAX TWP--2ND PRECINCT","total","Gabbard","8","OTHER","President"
"HALIFAX TWP--2ND PRECINCT","total","Write-In","4","OTHER","President"
"JACKSON TOWNSHIP","total","Sanders","17","OTHER","President"
"JACKSON TOWNSHIP","total","Biden","117","DEM","President"
"JACKSON TOWNSHIP","total","Gabbard","5","OTHER","President"
"JACKSON TOWNSHIP","total","Write-In","1","OTHER","President"
"JEFFERSON TOWNSHIP","total","Sanders","6","OTHER","President"
"JEFFERSON TOWNSHIP","total","Biden","20","DEM","President"
"JEFFERSON TOWNSHIP","total","Gabbard","3","OTHER","President"
"JEFFERSON TOWNSHIP","total","Write-In","0","OTHER","President"
"LONDONDERRY TWP--1ST PRECINCT","total","Sanders","22","OTHER","President"
"LONDONDERRY TWP--1ST PRECINCT","total","Biden","108","DEM","President"
"LONDONDERRY TWP--1ST PRECINCT","total","Gabbard","3","OTHER","President"
"LONDONDERRY TWP--1ST PRECINCT","total","Write-In","6","OTHER","President"
"LONDONDERRY TWP--2ND PRECINCT","total","Sanders","20","OTHER","President"
"LONDONDERRY TWP--2ND PRECINCT","total","Biden","95","DEM","President"
"LONDONDERRY TWP--2ND PRECINCT","total","Gabbard","1","OTHER","President"
"LONDONDERRY TWP--2ND PRECINCT","total","Write-In","5","OTHER","President"
"LONDONDERRY TWP--3RD PRECINCT","total","Sanders","12","OTHER","President"
"LONDONDERRY TWP--3RD PRECINCT","total","Biden","47","DEM","President"
"LONDONDERRY TWP--3RD PRECINCT","total","Gabbard","2","OTHER","President"
"LONDONDERRY TWP--3RD PRECINCT","total","Write-In","4","OTHER","President"
"LOWER PAXTON TWP--1ST PRECINCT","total","Sanders","34","OTHER","President"
"LOWER PAXTON TWP--1ST PRECINCT","total","Biden","137","DEM","President"
"LOWER PAXTON TWP--1ST PRECINCT","total","Gabbard","1","OTHER","President"
"LOWER PAXTON TWP--1ST PRECINCT","total","Write-In","2","OTHER","President"
"LOWER PAXTON TWP--2ND PRECINCT","total","Sanders","54","OTHER","President"
"LOWER PAXTON TWP--2ND PRECINCT","total","Biden","177","DEM","President"
"LOWER PAXTON TWP--2ND PRECINCT","total","Gabbard","3","OTHER","President"
"LOWER PAXTON TWP--2ND PRECINCT","total","Write-In","1","OTHER","President"
"LOWER PAXTON TWP--3RD PRECINCT","total","Sanders","42","OTHER","President"
"LOWER PAXTON TWP--3RD PRECINCT","total","Biden","187","DEM","President"
"LOWER PAXTON TWP--3RD PRECINCT","total","Gabbard","12","OTHER","President"
"LOWER PAXTON TWP--3RD PRECINCT","total","Write-In","3","OTHER","President"
"LOWER PAXTON TWP--4TH PRECINCT","total","Sanders","35","OTHER","President"
"LOWER PAXTON TWP--4TH PRECINCT","total","Biden","190","DEM","President"
"LOWER PAXTON TWP--4TH PRECINCT","total","Gabbard","5","OTHER","President"
"LOWER PAXTON TWP--4TH PRECINCT","total","Write-In","7","OTHER","President"
"LOWER PAXTON TWP--5TH PRECINCT","total","Sanders","55","OTHER","President"
"LOWER PAXTON TWP--5TH PRECINCT","total","Biden","214","DEM","President"
"LOWER PAXTON TWP--5TH PRECINCT","total","Gabbard","11","OTHER","President"
"LOWER PAXTON TWP--5TH PRECINCT","total","Write-In","5","OTHER","President"
"LOWER PAXTON TWP--6TH PRECINCT","total","Sanders","70","OTHER","President"
"LOWER PAXTON TWP--6TH PRECINCT","total","Biden","230","DEM","President"
"LOWER PAXTON TWP--6TH PRECINCT","total","Gabbard","10","OTHER","President"
"LOWER PAXTON TWP--6TH PRECINCT","total","Write-In","4","OTHER","President"
"LOWER PAXTON TWP--7TH PRECINCT","total","Sanders","42","OTHER","President"
"LOWER PAXTON TWP--7TH PRECINCT","total","Biden","201","DEM","President"
"LOWER PAXTON TWP--7TH PRECINCT","total","Gabbard","11","OTHER","President"
"LOWER PAXTON TWP--7TH PRECINCT","total","Write-In","7","OTHER","President"
"LOWER PAXTON TWP--8TH PRECINCT","total","Sanders","43","OTHER","President"
