"precinct","type","candidate","votes","party","office"
"Lancaster City - 6th Ward - 7th Precinct","total","Write-In",3,"OTHER","President"
"Lancaster City - 6th Ward - 8th Precinct","total","Sanders",41,"OTHER","President"
"Lancaster City - 6th Ward - 8th Precinct","total","Biden",88,"DEM","President"
"Lancaster City - 6th Ward - 8th Precinct","total","Gabbard",2,"OTHER","President"
"Lancaster City - 6th Ward - 8th Precinct","total","Write-In",3,"OTHER","President"
"Lancaster City - 7th Ward - 1st Precinct","total","Sanders",38,"OTHER","President"
"Lancaster City - 7th Ward - 1st Precinct","total","Biden",81,"DEM","President"
"Lancaster City - 7th Ward - 1st Precinct","total","Gabbard",1,"OTHER","President"
"Lancaster City - 7th Ward - 2nd Precinct","total","Sanders",12,"OTHER","President"
"Lancaster City - 7th Ward - 2nd Precinct","total","Biden",57,"DEM","President"
"Lancaster City - 7th Ward - 2nd Precinct","total","Gabbard",2,"OTHER","President"
"Lancaster City - 7th Ward - 3rd Precinct","total","Sanders",21,"OTHER","President"
"Lancaster City - 7th Ward - 3rd Precinct","total","Biden",56,"DEM","President"
"Lancaster City - 7th Ward - 3rd Precinct","total","Gabbard",2,"OTHER","President"
"Lancaster City - 7th Ward - 4th Precinct","total","Sanders",19,"OTHER","President"
"Lancaster City - 7th Ward - 4th Precinct","total","Biden",76,"DEM","President"
"Lancaster City - 7th Ward - 4th Precinct","total","Gabbard",4,"OTHER","President"
"Lancaster City - 7th Ward - 5th Precinct","total","Sanders",9,"OTHER","President"
"Lancaster City - 7th Ward - 5th Precinct","total","Biden",50,"DEM","President"
"Lancaster City - 7th Ward - 5th Precinct","total","Gabbard",2,"OTHER","President"
"Lancaster City - 7th Ward - 6th Precinct","total","Sanders",28,"OTHER","President"
"Lancaster City - 7th Ward - 6th Precinct","total","Biden",50,"DEM","President"
"Lancaster City - 7th Ward - 6th Precinct","total","Gabbard",1,"OTHER","President"
"Lancaster City - 7th Ward - 7th Precinct","total","Sanders",27,"OTHER","President"
"Lancaster City - 7th Ward - 7th Precinct","total","Biden",106,"DEM","President"
"Lancaster City - 7th Ward - 7th Precinct","total","Gabbard",1,"OTHER","President"
"Lancaster City - 7th Ward - 7th Precinct","total","Write-In",4,"OTHER","President"
"Lancaster City - 7th Ward - 8th Precinct (CV)","total","Sanders",11,"OTHER","President"
"Lancaster City - 7th Ward - 8th Precinct (CV)","total","Biden",35,"DEM","President"
"Lancaster City - 7th Ward - 8th Precinct (CV)","total","Gabbard",2,"OTHER","President"
"Lancaster City - 7th Ward - 8th Precinct (LS)","total","Sanders",10,"OTHER","President"
"Lancaster City - 7th Ward - 8th Precinct (LS)","total","Biden",49,"DEM","President"
"Lancaster City - 7th Ward - 8th Precinct (LS)","total","Write-In",1,"OTHER","President"
"Lancaster City - 8th Ward - 1st Precinct","total","Sanders",24,"OTHER","President"
"Lancaster City - 8th Ward - 1st Precinct","total","Biden",57,"DEM","President"
"Lancaster City - 8th Ward - 1st Precinct","total","Gabbard",2,"OTHER","President"
"Lancaster City - 8th Ward - 1st Precinct","total","Write-In",6,"OTHER","President"
"Lancaster City - 8th Ward - 2nd Precinct","total","Sanders",31,"OTHER","President"
"Lancaster City - 8th Ward - 2nd Precinct","total","Biden",64,"DEM","President"
"Lancaster City - 8th Ward - 2nd Precinct","total","Gabbard",1,"OTHER","President"
"Lancaster City - 8th Ward - 2nd Precinct","total","Write-In",1,"OTHER","President"
"Lancaster City - 8th Ward - 3rd Precinct","total","Sanders",44,"OTHER","President"
"Lancaster City - 8th Ward - 3rd Precinct","total","Biden",75,"DEM","President"
"Lancaster City - 8th Ward - 3rd Precinct","total","Gabbard",3,"OTHER","President"
"Lancaster City - 8th Ward - 4th Precinct","total","Sanders",94,"OTHER","President"
"Lancaster City - 8th Ward - 4th Precinct","total","Biden",148,"DEM","President"
"Lancaster City - 8th Ward - 4th Precinct","total","Gabbard",2,"OTHER","President"
"Lancaster City - 8th Ward - 4th Precinct","total","Write-In",3,"OTHER","President"
"Lancaster City - 8th Ward - 5th Precinct","total","Sanders",35,"OTHER","President"
"Lancaster City - 8th Ward - 5th Precinct","total","Biden",67,"DEM","President"
"Lancaster City - 8th Ward - 5th Precinct","total","Gabbard",1,"OTHER","President"
"Lancaster City - 8th Ward - 5th Precinct","total","Write-In",4,"OTHER","President"
"Lancaster City - 8th Ward - 6th Precinct","total","Sanders",42,"OTHER","President"
"Lancaster City - 8th Ward - 6th Precinct","total","Biden",77,"DEM","President"
"Lancaster City - 8th Ward - 6th Precinct","total","Gabbard",3,"OTHER","President"
"Lancaster City - 8th Ward - 6th Precinct","total","Write-In",2,"OTHER","President"
"Lancaster City - 8th Ward - 7th Precinct","total","Sanders",42,"OTHER","President"
"Lancaster City - 8th Ward - 7th Precinct","total","Biden",151,"DEM","President"
"Lancaster City - 8th Ward - 7th Precinct","total","Gabbard",2,"OTHER","President"
"Lancaster City - 8th Ward - 7th Precinct","total","Write-In",4,"OTHER","President"
"Lancaster City - 8th Ward - 8th Precinct","total","Sanders",37,"OTHER","President"
"Lancaster City - 8th Ward - 8th Precinct","total","Biden",128,"DEM","President"
"Lancaster City - 8th Ward - 8th Precinct","total","Gabbard",3,"OTHER","President"
"Lancaster City - 8th Ward - 8th Precinct","total","Write-In",1,"OTHER","President"
"Lancaster City - 8th Ward - 9th Precinct","total","Sanders",30,"OTHER","President"
"Lancaster City - 8th Ward - 9th Precinct","total","Biden",82,"DEM","President"
"Lancaster City - 8th Ward - 9th Precinct","total","Gabbard",3,"OTHER","President"
"Lancaster City - 8th Ward - 9th Precinct","total","Write-In",1,"OTHER","President"
"Lancaster City - 9th Ward - 1st Precinct","total","Sanders",99,"OTHER","President"
"Lancaster City - 9th Ward - 1st Precinct","total","Biden",152,"DEM","President"
"Lancaster City - 9th Ward - 1st Precinct","total","Gabbard",7,"OTHER","President"
"Lancaster City - 9th Ward - 1st Precinct","total","Write-In",6,"OTHER","President"
"Lancaster City - 9th Ward - 2nd Precinct","total","Sanders",23,"OTHER","President"
"Lancaster City - 9th Ward - 2nd Precinct","total","Biden",28,"DEM","President"
"Lancaster City - 9th Ward - 3rd Precinct","total","Sanders",118,"OTHER","President"
"Lancaster City - 9th Ward - 3rd Precinct","total","Biden",179,"DEM","President"
"Lancaster City - 9th Ward - 3rd Precinct","total","Gabbard",9,"OTHER","President"
"Lancaster City - 9th Ward - 3rd Precinct","total","Write-In",10,"OTHER","President"
"Lancaster City - 9th Ward - 4th Precinct","total","Sanders",85,"OTHER","President"
"Lancaster City - 9th Ward - 4th Precinct","total","Biden",125,"DEM","President"
"Lancaster City - 9th Ward - 4th Precinct","total","Gabbard",2,"OTHER","President"
"Lancaster City - 9th Ward - 4th Precinct","total","Write-In",3,"OTHER","President"
"Lancaster City - 9th Ward - 5th Precinct","total","Sanders",125,"OTHER","President"
"Lancaster City - 9th Ward - 5th Precinct","total","Biden",246,"DEM","President"
"Lancaster City - 9th Ward - 5th Precinct","total","Gabbard",5,"OTHER","President"
"Lancaster City - 9th Ward - 5th Precinct","total","Write-In",13,"OTHER","President"
"Adamstown Boro","total","Sanders",31,"OTHER","President"
"Adamstown Boro","total","Biden",125,"DEM","President"
"Adamstown Boro","total","Gabbard",4,"OTHER","President"
"Adamstown Boro","total","Write-In",2,"OTHER","President"
"Akron Boro - East Dist","total","Sanders",34,"OTHER","President"
"Akron Boro - East Dist","total","Biden",100,"DEM","President"
"Akron Boro - East Dist","total","Gabbard",2,"OTHER","President"
"Akron Boro - East Dist","total","Write-In",3,"OTHER","President"
"Akron Boro - West Dist","total","Sanders",43,"OTHER","President"
"Akron Boro - West Dist","total","Biden",117,"DEM","President"
"Akron Boro - West Dist","total","Gabbard",8,"OTHER","President"
"Akron Boro - West Dist","total","Write-In",5,"OTHER","President"
"Christiana Boro","total","Sanders",15,"OTHER","President"
"Christiana Boro","total","Biden",50,"DEM","President"
"Christiana Boro","total","Gabbard",3,"OTHER","President"
"Columbia Boro - 1st Ward","total","Sanders",31,"OTHER","President"
"Columbia Boro - 1st Ward","total","Biden",63,"DEM","President"
"Columbia Boro - 1st Ward","total","Gabbard",2,"OTHER","President"
"Columbia Boro - 1st Ward","total","Write-In",6,"OTHER","President"
"Columbia Boro - 4th Ward","total","Sanders",16,"OTHER","President"
"Columbia Boro - 4th Ward","total","Biden",84,"DEM","President"
"Columbia Boro - 4th Ward","total","Gabbard",3,"OTHER","President"
"Columbia Boro - 5th Ward","total","Sanders",17,"OTHER","President"
"Columbia Boro - 5th Ward","total","Biden",115,"DEM","President"
"Columbia Boro - 5th Ward","total","Gabbard",2,"OTHER","President"
"Columbia Boro - 5th Ward","total","Write-In",2,"OTHER","President"
"Columbia Boro - 6th Ward","total","Sanders",28,"OTHER","President"
"Columbia Boro - 6th Ward","total","Biden",138,"DEM","President"
"Columbia Boro - 6th Ward","total","Gabbard",6,"OTHER","President"
"Columbia Boro - 6th Ward","total","Write-In",7,"OTHER","President"
"Columbia Boro - 7th Ward","total","Sanders",24,"OTHER","President"
"Columbia Boro - 7th Ward","total","Biden",103,"DEM","President"
"Columbia Boro - 7th Ward","total","Gabbard",9,"OTHER","President"
"Columbia Boro - 7th Ward","total","Write-In",5,"OTHER","President"
"Columbia Boro - 9th Ward","total","Sanders",25,"OTHER","President"
"Columbia Boro - 9th Ward","total","Biden",67,"DEM","President"
"Columbia Boro - 9th Ward","total","Gabbard",4,"OTHER","President"
"Columbia Boro - 9th Ward","total","Write-In",4,"OTHER","President"
"Denver Boro","total","Sanders",50,"OTHER","President"
"Denver Boro","total","Biden",142,"DEM","President"
"Denver Boro","total","Gabbard",9,"OTHER","President"
"Denver Boro","total","Write-In",5,"OTHER","President"
"East Petersburg Boro North","total","Sanders",40,"OTHER","President"
"East Petersburg Boro North","total","Biden",139,"DEM","President"
"East Petersburg Boro North","total","Gabbard",3,"OTHER","President"
"East Petersburg Boro North","total","Write-In",6,"OTHER","President"
"East Petersburg Boro South","total","Sanders",29,"OTHER","President"
"East Petersburg Boro South","total","Biden",138,"DEM","President"
"East Petersburg Boro South","total","Gabbard",3,"OTHER","President"
"East Petersburg Boro South","total","Write-In",8,"OTHER","President"
"East Petersburg Boro West","total","Sanders",34,"OTHER","President"
"East Petersburg Boro West","total","Biden",112,"DEM","President"
"East Petersburg Boro West","total","Gabbard",4,"OTHER","President"
"East Petersburg Boro West","total","Write-In",3,"OTHER","President"
"Elizabethtown Boro - 1st Ward","total","Sanders",108,"OTHER","President"
"Elizabethtown Boro - 1st Ward","total","Biden",197,"DEM","President"
"Elizabethtown Boro - 1st Ward","total","Gabbard",9,"OTHER","President"
"Elizabethtown Boro - 1st Ward","total","Write-In",4,"OTHER","President"
"Elizabethtown Boro - 2nd Ward","total","Sanders",35,"OTHER","President"
"Elizabethtown Boro - 2nd Ward","total","Biden",143,"DEM","President"
"Elizabethtown Boro - 2nd Ward","total","Gabbard",2,"OTHER","President"
"Elizabethtown Boro - 2nd Ward","total","Write-In",2,"OTHER","President"
"Elizabethtown Boro - 3rd Ward - 1st Precinct","total","Sanders",21,"OTHER","President"
"Elizabethtown Boro - 3rd Ward - 1st Precinct","total","Biden",92,"DEM","President"
"Elizabethtown Boro - 3rd Ward - 1st Precinct","total","Gabbard",1,"OTHER","President"
"Elizabethtown Boro - 3rd Ward - 1st Precinct","total","Write-In",1,"OTHER","President"
"Elizabethtown Boro - 3rd Ward - 2nd Precinct","total","Sanders",32,"OTHER","President"
"Elizabethtown Boro - 3rd Ward - 2nd Precinct","total","Biden",150,"DEM","President"
"Elizabethtown Boro - 3rd Ward - 2nd Precinct","total","Gabbard",6,"OTHER","President"
"Elizabethtown Boro - 3rd Ward - 2nd Precinct","total","Write-In",7,"OTHER","President"
"Elizabethtown Boro - 3rd Ward - 3rd Precinct","total","Sanders",29,"OTHER","President"
"Elizabethtown Boro - 3rd Ward - 3rd Precinct","total","Biden",73,"DEM","President"
"Elizabethtown Boro - 3rd Ward - 3rd Precinct","total","Gabbard",3,"OTHER","President"
"Elizabethtown Boro - 3rd Ward - 3rd Precinct","total","Write-In",3,"OTHER","President"
"Ephrata Boro - 1st Ward","total","Sanders",41,"OTHER","President"
"Ephrata Boro - 1st Ward","total","Biden",143,"DEM","President"
"Ephrata Boro - 1st Ward","total","Gabbard",4,"OTHER","President"
"Ephrata Boro - 1st Ward","total","Write-In",2,"OTHER","President"
"Ephrata Boro - 2nd Ward","total","Sanders",60,"OTHER","President"
"Ephrata Boro - 2nd Ward","total","Biden",154,"DEM","President"
"Ephrata Boro - 2nd Ward","total","Gabbard",6,"OTHER","President"
"Ephrata Boro - 2nd Ward","total","Write-In",7,"OTHER","President"
"Ephrata Boro - 3rd Ward","total","Sanders",62,"OTHER","President"
"Ephrata Boro - 3rd Ward","total","Biden",189,"DEM","President"
"Ephrata Boro - 3rd Ward","total","Gabbard",12,"OTHER","President"
"Ephrata Boro - 3rd Ward","total","Write-In",6,"OTHER","President"
"Ephrata Boro - 4th Ward","total","Sanders",36,"OTHER","President"
"Ephrata Boro - 4th Ward","total","Biden",131,"DEM","President"
"Ephrata Boro - 4th Ward","total","Gabbard",7,"OTHER","President"
"Ephrata Boro - 4th Ward","total","Write-In",3,"OTHER","President"
"Lititz Boro - 1st Ward - 1st Precinct","total","Sanders",43,"OTHER","President"
"Lititz Boro - 1st Ward - 1st Precinct","total","Biden",92,"DEM","President"
"Lititz Boro - 1st Ward - 1st Precinct","total","Gabbard",3,"OTHER","President"
"Lititz Boro - 1st Ward - 1st Precinct","total","Write-In",4,"OTHER","President"
"Lititz Boro - 1st Ward - 2nd Precinct","total","Sanders",20,"OTHER","President"
"Lititz Boro - 1st Ward - 2nd Precinct","total","Biden",137,"DEM","President"
"Lititz Boro - 1st Ward - 2nd Precinct","total","Gabbard",3,"OTHER","President"
"Lititz Boro - 1st Ward - 2nd Precinct","total","Write-In",1,"OTHER","President"
"Lititz Boro - 2nd Ward - 1st Precinct","total","Sanders",47,"OTHER","President"
"Lititz Boro - 2nd Ward - 1st Precinct","total","Biden",122,"DEM","President"
"Lititz Boro - 2nd Ward - 1st Precinct","total","Gabbard",2,"OTHER","President"
"Lititz Boro - 2nd Ward - 1st Precinct","total","Write-In",2,"OTHER","President"
"Lititz Boro - 2nd Ward - 2nd Precinct","total","Sanders",43,"OTHER","President"
"Lititz Boro - 2nd Ward - 2nd Precinct","total","Biden",119,"DEM","President"
"Lititz Boro - 2nd Ward - 2nd Precinct","total","Gabbard",5,"OTHER","President"
"Lititz Boro - 2nd Ward - 2nd Precinct","total","Write-In",1,"OTHER","President"
"Lititz Boro - 3rd Ward - 1st Precinct","total","Sanders",39,"OTHER","President"
"Lititz Boro - 3rd Ward - 1st Precinct","total","Biden",218,"DEM","President"
"Lititz Boro - 3rd Ward - 1st Precinct","total","Gabbard",4,"OTHER","President"
"Lititz Boro - 3rd Ward - 1st Precinct","total","Write-In",3,"OTHER","President"
"Lititz Boro - 3rd Ward - 2nd Precinct","total","Sanders",52,"OTHER","President"
"Lititz Boro - 3rd Ward - 2nd Precinct","total","Biden",196,"DEM","President"
"Lititz Boro - 3rd Ward - 2nd Precinct","total","Gabbard",3,"OTHER","President"
"Lititz Boro - 3rd Ward - 2nd Precinct","total","Write-In",2,"OTHER","President"
"Manheim Boro - 1st Ward","total","Sanders",43,"OTHER","President"
"Manheim Boro - 1st Ward","total","Biden",141,"DEM","President"
"Manheim Boro - 1st Ward","total","Gabbard",9,"OTHER","President"
"Manheim Boro - 1st Ward","total","Write-In",4,"OTHER","President"
"Manheim Boro - 2nd Ward","total","Sanders",55,"OTHER","President"
"Manheim Boro - 2nd Ward","total","Biden",103,"DEM","President"
"Manheim Boro - 2nd Ward","total","Gabbard",4,"OTHER","President"
"Manheim Boro - 2nd Ward","total","Write-In",3,"OTHER","President"
"Marietta Boro - 1st Dist","total","Sanders",44,"OTHER","President"
"Marietta Boro - 1st Dist","total","Biden",126,"DEM","President"
"Marietta Boro - 1st Dist","total","Gabbard",3,"OTHER","President"
"Marietta Boro - 1st Dist","total","Write-In",3,"OTHER","President"
"Marietta Boro - 2nd Dist","total","Sanders",37,"OTHER","President"
"Marietta Boro - 2nd Dist","total","Biden",80,"DEM","President"
"Marietta Boro - 2nd Dist","total","Gabbard",3,"OTHER","President"
"Marietta Boro - 2nd Dist","total","Write-In",2,"OTHER","President"
"Millersville Boro - 1st Dist","total","Sanders",33,"OTHER","President"
"Millersville Boro - 1st Dist","total","Biden",141,"DEM","President"
"Millersville Boro - 1st Dist","total","Gabbard",1,"OTHER","President"
"Millersville Boro - 1st Dist","total","Write-In",1,"OTHER","President"
"Millersville Boro - 2nd Dist","total","Sanders",55,"OTHER","President"
"Millersville Boro - 2nd Dist","total","Biden",140,"DEM","President"
"Millersville Boro - 2nd Dist","total","Gabbard",9,"OTHER","President"
"Millersville Boro - 2nd Dist","total","Write-In",1,"OTHER","President"
"Millersville Boro - 3rd Dist","total","Sanders",57,"OTHER","President"
"Millersville Boro - 3rd Dist","total","Biden",115,"DEM","President"
"Millersville Boro - 3rd Dist","total","Gabbard",3,"OTHER","President"
"Millersville Boro - 3rd Dist","total","Write-In",3,"OTHER","President"
"Millersville Boro - 4th Dist","total","Sanders",53,"OTHER","President"
"Millersville Boro - 4th Dist","total","Biden",63,"DEM","President"
"Millersville Boro - 4th Dist","total","Gabbard",1,"OTHER","President"
"Mount Joy Boro - East Ward","total","Sanders",50,"OTHER","President"
"Mount Joy Boro - East Ward","total","Biden",114,"DEM","President"
"Mount Joy Boro - East Ward","total","Gabbard",3,"OTHER","President"
"Mount Joy Boro - East Ward","total","Write-In",6,"OTHER","President"
"Mount Joy Boro - Florin Ward","total","Sanders",55,"OTHER","President"
"Mount Joy Boro - Florin Ward","total","Biden",180,"DEM","President"
"Mount Joy Boro - Florin Ward","total","Gabbard",7,"OTHER","President"
"Mount Joy Boro - Florin Ward","total","Write-In",5,"OTHER","President"
"Mount Joy Boro - West Ward","total","Sanders",36,"OTHER","President"
"Mount Joy Boro - West Ward","total","Biden",146,"DEM","President"
"Mount Joy Boro - West Ward","total","Gabbard",5,"OTHER","President"
"Mount Joy Boro - West Ward","total","Write-In",1,"OTHER","President"
"Mountville Boro","total","Sanders",80,"OTHER","President"
"Mountville Boro","total","Biden",202,"DEM","President"
"Mountville Boro","total","Gabbard",2,"OTHER","President"
"Mountville Boro","total","Write-In",6,"OTHER","President"
"New Holland Boro - 1st Dist","total","Sanders",31,"OTHER","President"
"New Holland Boro - 1st Dist","total","Biden",94,"DEM","President"
"New Holland Boro - 1st Dist","total","Write-In",1,"OTHER","President"
"New Holland Boro - 2nd Dist","total","Sanders",37,"OTHER","President"
"New Holland Boro - 2nd Dist","total","Biden",118,"DEM","President"
"New Holland Boro - 2nd Dist","total","Gabbard",3,"OTHER","President"
"New Holland Boro - 2nd Dist","total","Write-In",3,"OTHER","President"
"New Holland Boro - 3rd Dist","total","Sanders",10,"OTHER","President"
"New Holland Boro - 3rd Dist","total","Biden",64,"DEM","President"
"New Holland Boro - 3rd Dist","total","Write-In",2,"OTHER","President"
"Quarryville Boro","total","Sanders",25,"OTHER","President"
"Quarryville Boro","total","Biden",94,"DEM","President"
"Quarryville Boro","total","Gabbard",4,"OTHER","President"
"Strasburg Boro - 1st Ward","total","Sanders",25,"OTHER","President"
"Strasburg Boro - 1st Ward","total","Biden",113,"DEM","President"
"Strasburg Boro - 1st Ward","total","Gabbard",6,"OTHER","President"
"Strasburg Boro - 1st Ward","total","Write-In",2,"OTHER","President"
"Strasburg Boro - 3rd Ward","total","Sanders",25,"OTHER","President"
"Strasburg Boro - 3rd Ward","total","Biden",110,"DEM","President"
"Strasburg Boro - 3rd Ward","total","Gabbard",2,"OTHER","President"
"Strasburg Boro - 3rd Ward","total","Write-In",3,"OTHER","President"
"Terre Hill Boro","total","Sanders",6,"OTHER","President"
"Terre Hill Boro","total","Biden",29,"DEM","President"
"Terre Hill Boro","total","Gabbard",1,"OTHER","President"
"Terre Hill Boro","total","Write-In",1,"OTHER","President"
"Bart Twp","total","Sanders",9,"OTHER","President"
"Bart Twp","total","Biden",48,"DEM","President"
"Bart Twp","total","Gabbard",4,"OTHER","President"
"Brecknock Twp - Bowmansville Dist","total","Sanders",38,"OTHER","President"
"Brecknock Twp - Bowmansville Dist","total","Biden",155,"DEM","President"
"Brecknock Twp - Bowmansville Dist","total","Gabbard",8,"OTHER","President"
"Brecknock Twp - Bowmansville Dist","total","Write-In",2,"OTHER","President"
"Brecknock Twp - Muddy Creek Dist","total","Sanders",8,"OTHER","President"
"Brecknock Twp - Muddy Creek Dist","total","Biden",45,"DEM","President"
"Brecknock Twp - Muddy Creek Dist","total","Gabbard",5,"OTHER","President"
"Brecknock Twp - Muddy Creek Dist","total","Write-In",3,"OTHER","President"
"Caernarvon Twp","total","Sanders",17,"OTHER","President"
"Caernarvon Twp","total","Biden",123,"DEM","President"
"Caernarvon Twp","total","Gabbard",5,"OTHER","President"
"Caernarvon Twp","total","Write-In",3,"OTHER","President"
"Clay Twp - North","total","Sanders",15,"OTHER","President"
"Clay Twp - North","total","Biden",70,"DEM","President"
"Clay Twp - North","total","Gabbard",3,"OTHER","President"
"Clay Twp - North","total","Write-In",2,"OTHER","President"
"Clay Twp - South","total","Sanders",43,"OTHER","President"
"Clay Twp - South","total","Biden",216,"DEM","President"
"Clay Twp - South","total","Gabbard",6,"OTHER","President"
"Clay Twp - South","total","Write-In",4,"OTHER","President"
"Cocalico East Twp - Smokestown Dist","total","Sanders",16,"OTHER","President"
"Cocalico East Twp - Smokestown Dist","total","Biden",88,"DEM","President"
"Cocalico East Twp - Smokestown Dist","total","Gabbard",1,"OTHER","President"
"Cocalico East Twp - Smokestown Dist","total","Write-In",6,"OTHER","President"
"Cocalico East Twp - Swartzville Dist","total","Sanders",30,"OTHER","President"
"Cocalico East Twp - Swartzville Dist","total","Biden",101,"DEM","President"
"Cocalico East Twp - Swartzville Dist","total","Gabbard",3,"OTHER","President"
"Cocalico East Twp - Swartzville Dist","total","Write-In",1,"OTHER","President"
"Cocalico East Twp - Stevens Dist","total","Sanders",20,"OTHER","President"
"Cocalico East Twp - Stevens Dist","total","Biden",71,"DEM","President"
"Cocalico East Twp - Stevens Dist","total","Gabbard",3,"OTHER","President"
"Cocalico East Twp - Stevens Dist","total","Write-In",1,"OTHER","President"
"Cocalico East Twp - Reamstown Dist","total","Sanders",28,"OTHER","President"
"Cocalico East Twp - Reamstown Dist","total","Biden",102,"DEM","President"
"Cocalico East Twp - Reamstown Dist","total","Gabbard",7,"OTHER","President"
"Cocalico West Twp - Reinholds Dist","total","Sanders",31,"OTHER","President"
"Cocalico West Twp - Reinholds Dist","total","Biden",112,"DEM","President"
"Cocalico West Twp - Reinholds Dist","total","Gabbard",6,"OTHER","President"
"Cocalico West Twp - Reinholds Dist","total","Write-In",5,"OTHER","President"
"Cocalico West Twp - Schoeneck Dist","total","Sanders",26,"OTHER","President"
"Cocalico West Twp - Schoeneck Dist","total","Biden",88,"DEM","President"
